編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
RPTNMLNKQHJGFBB08DA,錦村段,25.47,都市：其他:第二種住宅區,49,1,持分移轉,01840082
RPPNMLTJQHJGFKB09DA,榮華段,3231.79,都市：其他:住宅區,1,1,全筆移轉,02930004
RPXUMLOKQHJGFBB66DA,北屯段,3.04,都市：其他:第二種住宅區,10000,9,持分移轉,01680003
RPWPMLTJQHJGFEB76DA,臨江段,31.89,都市：其他:住宅區,100000,1898,持分移轉,08950000
RPVOMLNKQHJGFBB38DA,賴厝廍段,3.96,都市：其他:第二種住宅區,10000,11,持分移轉,00710000
RPPNMLSJQHJGFDB28DA,五汴段,34.57,都市：其他:第一之一種住宅區,10000,159,持分移轉,08390000
RPSQMLLJQHJGFBB97DA,中德段,21.34,都市：其他:第二種住宅區,29,1,持分移轉,00680000
RPQPMLNKQHJGFAB87DA,麻園頭段,63.00,都市：其他:第二種住宅區,1,1,全筆移轉,01820043
RPTNMLQKQHJGFAB28DA,下橋子頭段,75.00,都市：其他:第二種住宅區,1,1,全筆移轉,00280115
RPRRNLQJQHJGFFB98DA,新竹林段,17.29,都市：其他:第三種住宅區。,630,35,持分移轉,12140000
RPSNMLLJQHJGFDB87DA,三角東段,35.67,都市：其他:農業區,384,8,持分移轉,17680000
RPQNMLOJQHJGFEB08DA,奉化段,8.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,3000,50,持分移轉,02470000
RPQNMLOJQHJGFEB08DA,奉化段,26.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,02730011
RPSNMLRJQHJGFKB56DA,新東段,5.08,非都市：鄉村區 ; 非都市編定：乙種建築用地,4918,10,持分移轉,04210000
RPRNMLTJQHJGFDB58DA,一心段,143.04,都市：其他:道路用地,2,1,持分移轉,10230000
RPRNMLSJQHJGFGB78DA,新南段,46.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,9600,452,持分移轉,01870000
RPRNMLSJQHJGFGB78DA,新南段,129.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,96,33,持分移轉,02210000
RPSNMLPJQHJGFDB28DA,豐原段,3.23,都市：其他:第二種商業區,100000,979,持分移轉,00660001
RPTNMLQKQHJGFFB78DA,銀聯段,.24,都市：其他:第四種住宅區,2200,1,持分移轉,00440000
RPTNMLQKQHJGFFB78DA,銀聯段,.79,都市：其他:第四種住宅區,100,1,持分移轉,00440023
RPTQMLMKQHJGFAB18DA,練武段,9.16,都市：其他:第四之二種商業區,100000,369,持分移轉,10550000
RPTNMLNKQHJGFGB58DA,新金星段,7.22,都市：其他:河川區兼供道路使用,54,3,持分移轉,00890007
RPUNMLNKQHJGFKB09DA,瑞井段,.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04910002
RPQNMLQKQHJGFKB98DA,慶順段,4.41,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06480000
RPTVMLOKQHJGFAB88DA,後壠子段,.73,都市：其他:第二之一種商業區,100000,10,持分移轉,02390000
RPPPMLPKQHJGFCB18DA,大墩段,21.70,都市：其他:第三種商業區,10000,310,持分移轉,03190000
RPPPMLPKQHJGFCB18DA,大墩段,8.71,都市：其他:第三種商業區,10000,310,持分移轉,03200000
RPPPMLPKQHJGFCB18DA,大墩段,22.23,都市：其他:第三種商業區,10000,310,持分移轉,03240000
RPRQMLMKQHJGFIB78DA,南勢東段,33.83,非都市：特定農業區 ; 非都市編定：甲種建築用地,32,1,持分移轉,08970000
RPXOMLNKQHJGFAB48DA,下橋子頭段,7.45,都市：其他:第三種住宅區。,1000000,6295,持分移轉,01810001
RPPNMLNJQHJGFDB77DA,岸裡段,13.18,都市：其他:乙種工業區,1,1,全筆移轉,10190001
RPXOMLNKQHJGFAB48DA,下橋子頭段,7.96,都市：其他:第三種住宅區。,1000000,6295,持分移轉,01860021
RPXOMLNKQHJGFAB48DA,半平厝段,1.19,都市：其他:第三種住宅區。,1000000,6295,持分移轉,19180006
RPQNMLPKQHJGFGB48DA,國校段,364.72,都市：其他:農業區,1,1,全筆移轉,00780000
RPWNMLTKQHJGFGB86DA,大茅埔段,1.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05570006
RPSNMLPKQHJGFGB68DA,國校段,391.30,都市：其他:農業區,1,1,全筆移轉,00760000
RPPNMLKLQHJGFGB97DA,下新段,40.95,都市：其他:農業區,144,24,持分移轉,00540000
RPQOMLNKQHJGFIB58DA,中山段,27.87,都市：其他:農業區,1,1,全筆移轉,07060000
RPTNMLTKQHJGFDB88DA,車路墘段溝子墘小段,3.00,都市：其他:農業區,1,1,全筆移轉,00130005
RPOPMLTKQHJGFIB09DA,武德段,87.33,都市：其他:乙種工業區,1,1,全筆移轉,09810006
RPOPMLTKQHJGFIB09DA,武德段,310.29,都市：其他:乙種工業區,1,1,全筆移轉,09810007
RPOPMLTKQHJGFIB09DA,武德段,370.49,都市：其他:乙種工業區,1,1,全筆移轉,09820006
RPVNMLNKQHJGFKB56DA,南王田段,189.20,都市：其他:農業區,1,1,全筆移轉,04660002
RPPNMLKLQHJGFHB18EA,興華段,11.79,都市：其他:第一之二種住宅區,10000,36,持分移轉,08140000
RPTNMLPJQHJGFAB08DA,綠川段二小段,109.00,都市：其他:第一種商業區,1,1,全筆移轉,00110000
RPTNMLPJQHJGFAB08DA,綠川段二小段,15.00,都市：其他:第一種商業區,1,1,全筆移轉,00110001
RPPNMLQKQHJGFBB08EA,錦村段,8.72,都市：其他:第二種住宅區,1000,17,持分移轉,02130076
RPPNMLPKQHJGFCB97DA,上石碑段,3.60,都市：其他:第二種住宅區,10000,113,持分移轉,08820000
RPQNMLQJQHJGFIB68DA,萬豐段,96.77,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07460000
SPQNMLQJQHJGFIB78DA,萬豐段,1.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,11,1,持分移轉,07230000
SPQNMLQJQHJGFIB78DA,萬豐段,29.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,11,1,持分移轉,07310000
SPQNMLQJQHJGFIB78DA,萬豐段,1.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,11,1,持分移轉,07410000
RPSNMLKKQHJGFIB38DA,崇光段,54.25,都市：其他:住宅區,1,1,全筆移轉,06520000
RPSNMLOKQHJGFCB18DA,惠來厝段,1.13,都市：其他:第二種住宅區,10000,26,持分移轉,00180002
RPSNMLOKQHJGFCB18DA,惠來厝段,.04,都市：其他:道路用地,10000,26,持分移轉,00180006
RPWNMLKLQHJGFCB28DA,順和段,7.97,都市：其他:第二種住宅區,32000,241,持分移轉,01910000
RPSNMLOKQHJGFCB18DA,惠來厝段,2.34,都市：其他:第二種住宅區,10000,26,持分移轉,16370000
RPRNMLRJQHJGFHB78DA,中山段,5.82,都市：其他:第一之一種住宅區,10000,39,持分移轉,02640000
RPSNMLQJQHJGFHB78DA,自強段,62.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04970004
RPSNMLTKQHJGFDB78DA,車路墘段溝子墘小段,2.00,都市：其他:農業區,1,1,全筆移轉,00130006
RPRNMLKLQHJGFGB18DA,下新段,40.95,都市：其他:農業區,144,24,持分移轉,00540000
RPQNMLQKQHJGFDB28DA,豐原段,81.00,都市：其他:第三種住宅區。,1,1,全筆移轉,03190316
RPQNMLPJQHJGFGB38DA,大茅埔段,398.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,09010721
RPPNMLPKQHJGFAB77DA,中民段三小段,56.54,都市：其他:第二種住宅區,35600,5654,持分移轉,00020005
RPUNMLKLQHJGFAB87DA,東勢子段,6.96,都市：其他:第二種住宅區,3516,58,持分移轉,00340142
RPPNMLQJQHJGFAB87EA,練武段,4.00,都市：其他:第二種住宅區,1,1,全筆移轉,01030002
RPPPMLSJQHJGFAB18DA,樹子腳段,3.89,都市：其他:第三種住宅區。,300000,352,持分移轉,00390000
RPPNMLLLQHJGFDB87EA,新店東段,2972.20,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05270000
RPRNMLRKQHJGFBB28DA,賴厝廍段,7.22,都市：其他:第一種商業區,10000,33,持分移轉,04380001
RPSNMLNJQHJGFBB87DA,乾溝子段,5.92,都市：其他:第三種住宅區。,1000,40,持分移轉,01240012
RPQPMLNKQHJGFCB08DA,民安段,.07,都市：其他:第一之一種住宅區,13440,84,持分移轉,17130000
RPPPMLNKQHJGFCB97DA,民安段,.93,都市：其他:道路用地,235200,1470,持分移轉,17030000
RPPPMLNKQHJGFCB97DA,民安段,.06,都市：其他:道路用地,47040,294,持分移轉,17100000
RPPPMLNKQHJGFCB97DA,民安段,.10,都市：其他:第一之一種住宅區,47040,294,持分移轉,17100001
RPSPMLNKQHJGFCB28DA,民安段,.93,都市：其他:第一之一種住宅區,188160,1176,持分移轉,17030001
RPRPMLNKQHJGFCB18DA,民安段,4.31,都市：其他:第一之一種住宅區,2400,15,持分移轉,17110000
RPRPMLNKQHJGFCB18DA,民安段,3.01,都市：其他:第一之一種住宅區,2400,15,持分移轉,17120000
RPUPMLNKQHJGFCB48DA,民安段,7.74,都市：其他:第一之一種住宅區,40000,500,持分移轉,18670006
RPUPMLNKQHJGFCB48DA,民安段,3.98,都市：其他:道路用地,2880,36,持分移轉,18670007
RPTNMLSJQHJGFDB68DA,大順段,18.89,都市：其他:第三種住宅區。,10000,48,持分移轉,01950000
RPPPMLSJQHJGFFB68DA,海風段,196.85,都市：其他:農業區,1,1,全筆移轉,11890000
RPPNMLSJQHJGFFB48DA,海風段,2561.38,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05270000
RPQPMLTKQHJGFIB66DA,中華段,14.25,都市：其他:道路用地,1,1,全筆移轉,06980000
RPXOMLSJQHJGFKB27DA,中蔗段,14.93,非都市：鄉村區 ; 非都市編定：乙種建築用地,8,2,持分移轉,09210000
RPXOMLSJQHJGFKB27DA,中蔗段,18.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,8,2,持分移轉,09220000
RPVNMLMLQHJGFIB98DA,喬城段,27.50,都市：其他:住宅區,1000,50,持分移轉,08560000
RPRNMLNKQHJGFKB78DA,萬陵段,101.54,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01680000
RPPPMLMKQHJGFAB67DA,土庫段,7.90,都市：其他:第一種商業區,1300,16,持分移轉,00250010
RPUNMLMLQHJGFKB09DA,北王田段,3.50,都市：其他:第一種住宅區,12960,20,持分移轉,08880000
RPUNMLMLQHJGFKB09DA,北王田段,6.57,都市：其他:第一種住宅區,12960,20,持分移轉,08920000
RPUNMLMLQHJGFKB09DA,北王田段,.21,都市：其他:第一種住宅區,12960,20,持分移轉,08930000
RPUNMLMLQHJGFKB09DA,北王田段,.02,都市：其他:第一種住宅區,12960,20,持分移轉,08950000
RPUNMLMLQHJGFKB09DA,北王田段,3.17,都市：其他:第一種住宅區,12960,20,持分移轉,08980000
RPUNMLMLQHJGFKB09DA,北王田段,1.51,都市：其他:第一種住宅區,12960,20,持分移轉,08990000
SPUNMLMLQHJGFKB56DA,北王田段,.76,都市：其他:農業區,5184,8,持分移轉,03990000
SPUNMLMLQHJGFKB56DA,北王田段,.39,都市：其他:第一種住宅區,12960,20,持分移轉,08480000
SPUNMLMLQHJGFKB56DA,北王田段,.34,都市：其他:第一種住宅區,12960,20,持分移轉,08490000
SPUNMLMLQHJGFKB56DA,北王田段,.08,都市：其他:第一種住宅區,2592,4,持分移轉,08520000
SPUNMLMLQHJGFKB56DA,北王田段,.06,都市：其他:第一種住宅區,2592,4,持分移轉,08730000
SPUNMLMLQHJGFKB56DA,北王田段,.06,都市：其他:第一種住宅區,2592,4,持分移轉,08870000
SPUNMLMLQHJGFKB56DA,北王田段,.16,都市：其他:第一種住宅區,5184,8,持分移轉,08890000
SPUNMLMLQHJGFKB56DA,北王田段,.59,都市：其他:第一種住宅區,5184,8,持分移轉,08900000
SPUNMLMLQHJGFKB56DA,北王田段,.05,都市：其他:農業區,12960,20,持分移轉,08940000
SPUNMLMLQHJGFKB56DA,北王田段,.01,都市：其他:第一種住宅區,12960,20,持分移轉,08960000
SPUNMLMLQHJGFKB56DA,北王田段,.20,都市：其他:農業區,12960,20,持分移轉,08970000
SPUNMLMLQHJGFKB56DA,北王田段,.49,都市：其他:農業區,12960,20,持分移轉,12500000
RPPPMLKLQHJGFAB57DA,信義段八小段,5.80,都市：其他:第二種住宅區,20,1,持分移轉,00010059
RPUOMLKLQHJGFAB97DA,旱清段,8.34,都市：其他:第二種住宅區,10000,83,持分移轉,02030000
RPWNMLQJQHJGFCB68DA,上石碑段,6.37,都市：其他:第三種商業區,200000,1322,持分移轉,09640002
RPSNMLTKQHJGFIB66DA,大衛段,13.73,都市：其他:商業區,100000,523,持分移轉,05860000
RPXOMLSJQHJGFIB07DA,峰北段,135.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02150000
RPSOMLOKQHJGFHB78DA,學雅段,.68,都市：其他:住宅區,1,1,全筆移轉,05770001
RPSOMLOKQHJGFHB78DA,學雅段,10.03,都市：其他:住宅區,1,1,全筆移轉,05770003
RPSOMLOKQHJGFHB78DA,學雅段,15.24,都市：其他:住宅區,1,1,全筆移轉,05780003
RPQNMLOKQHJGFFB28DA,六路段,.90,都市：其他:第二種住宅區,500,5,持分移轉,16070000
RPVNMLOKQHJGFFB78DA,市鎮北段,12.97,都市：其他:第四種商業區,100000,254,持分移轉,01180000
RPPNMLOKQHJGFFB18DA,六路段,3.60,都市：其他:第二種住宅區,500,20,持分移轉,16070000
RPQNMLTKQHJGFCB58EA,國安段,3.09,都市：其他:第三之一種住宅區,10000,14,持分移轉,03000000
RPPNMLRKQHJGFFB48DA,高西段,196.90,都市：其他:農業區,6,1,持分移轉,04870000
RPVNMLNKQHJGFAB18DA,下橋子頭段,7.82,都市：其他:第三種住宅區。,100000,197,持分移轉,02470015
RPTUMLTKQHJGFFB17DA,六路段,24.30,都市：其他:第二種住宅區,100,27,持分移轉,16070000
RPPNMLMLQHJGFGB28EA,七分段水井子小段,1058.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,2638,1058,持分移轉,00620000
RPPQMLKLQHJGFCB87DA,下石碑段,4.00,都市：其他:道路用地,1,1,全筆移轉,17400006
RPOOMLOKQHJGFFB18DA,庄北段,139.67,都市：其他:第四種住宅區,1,1,全筆移轉,04920000
RPOOMLOKQHJGFFB18DA,庄北段,28.63,都市：其他:第四種住宅區,4550,462,持分移轉,04950000
RPOOMLOKQHJGFFB18DA,庄北段,19.13,都市：其他:第四種住宅區,4550,462,持分移轉,04980000
RPOOMLOKQHJGFFB18DA,庄北段,2.60,都市：其他:第四種住宅區,5,1,持分移轉,05490000
RPXNMLLJQHJGFFB58DA,鰲峰段,11.60,都市：其他:第三種商業區,30,1,持分移轉,03140000
RPXNMLLJQHJGFFB58DA,鰲峰段,5.62,都市：其他:第四種住宅區,60,1,持分移轉,04080001
RPXNMLLJQHJGFFB58DA,鰲峰段,3.77,都市：其他:道路用地,60,1,持分移轉,04080002
RPXNMLLJQHJGFFB58DA,鰲峰段,.01,都市：其他:道路用地,60,1,持分移轉,04080003
RPSNMLQKQHJGFFB68DA,民族段,8.00,都市：其他:農業區,1,1,全筆移轉,01430003
RPROMLMLQHJGFDB18DA,三村段,63.99,都市：其他:第二種住宅區,1,1,全筆移轉,04670000
RPVNMLQKQHJGFFB98DA,朝天段,31.54,都市：其他:農業區,1,1,全筆移轉,03770001
RPQNMLMLQHJGFKB68DA,追分段,.08,都市：其他:第一種住宅區,36,1,持分移轉,09290000
RPQNMLMLQHJGFKB68DA,追分段,26.42,都市：其他:第一種住宅區,36,1,持分移轉,09290001
RPQNMLMLQHJGFKB68DA,追分段,.03,都市：其他:道路用地,36,1,持分移轉,09290002
RPVOMLQKQHJGFBB68DA,水源段,5.21,都市：其他:第一種商業區,10000,94,持分移轉,03300019
RPVOMLQKQHJGFBB68DA,水源段,.19,都市：其他:第一種商業區,10000,94,持分移轉,03300024
RPVOMLQKQHJGFBB68DA,水源段,.69,都市：其他:第一種商業區,10000,94,持分移轉,03330007
RPVOMLQKQHJGFBB68DA,水源段,1.52,都市：其他:第二種住宅區,10000,94,持分移轉,03330008
RPVOMLQKQHJGFBB68DA,水源段,.73,都市：其他:第二種住宅區,10000,94,持分移轉,03330010
RPVOMLQKQHJGFBB68DA,水源段,.01,都市：其他:第一種商業區,10000,94,持分移轉,03330013
RPVOMLQKQHJGFBB68DA,水源段,.08,都市：其他:第二種住宅區,10000,94,持分移轉,03330014
RPVOMLQKQHJGFBB68DA,水源段,.04,都市：其他:第二種住宅區,10000,94,持分移轉,03330015
RPPOMLQLQHJGFFB58DA,吳厝南段,516.89,非都市：一般農業區 ; 非都市編定：農牧用地,252,5,持分移轉,07050000
RPPNMLOJQHJGFJB48DA,內城段,630.50,非都市：山坡地保育區 ; 非都市編定：農牧用地,4,1,持分移轉,00700000
RPPNMLLLQHJGFHB18DA,潭北段,59.56,都市：其他:第一之二種住宅區,1,1,全筆移轉,05250000
RPRQMLTKQHJGFBB78DA,賴厝廍段,295.00,都市：其他:第二種住宅區,1,1,全筆移轉,01710016
RPSQMLMKQHJGFCB28DA,西屯段,2.18,都市：其他:第一種商業區,180000,188,持分移轉,30220000
RPSQMLMKQHJGFCB28DA,西屯段,1.58,都市：其他:第二種商業區,540000,564,持分移轉,30220001
RPSQMLMKQHJGFCB28DA,西屯段,.06,都市：其他:第一種商業區,180000,188,持分移轉,30230000
RPOOMLNKQHJGFAB57DA,番婆段,20.56,都市：其他:第三種住宅區。,100000,422,持分移轉,00930015
RPPNMLQKQHJGFBB97DA,賴厝廍段,2.67,都市：其他:第一種商業區,10000,14,持分移轉,04380000
RPTONLTKQHJGFBB88DA,錦村段,4.82,都市：其他:第二種住宅區,10000,182,持分移轉,03800005
RPQVMLKLQHJGFBB38DA,錦村段,4.82,都市：其他:第二種住宅區,10000,182,持分移轉,03800005
RPXOMLLLQHJGFAB38DA,下橋子頭段,6.11,都市：其他:第一種商業區,160,10,持分移轉,01300129
RPXOMLLLQHJGFAB38DA,下橋子頭段,5.21,都市：其他:第二種住宅區,160,10,持分移轉,01300130
RPPNMLKKQHJGFIB08DA,仁美段,85.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01680004
RPVOMLNKQHJGFIB09DA,大元段,115.54,都市：其他:住宅區,1,1,全筆移轉,03270000
RPTQMLLLQHJGFCB38DA,國安段,5.20,都市：其他:第一之一種住宅區,10000,63,持分移轉,02820000
RPRNMLMLQHJGFIB58DA,環河段,113.92,都市：其他:園道用地,160,8,持分移轉,00290000
RPRNMLMLQHJGFIB58DA,環河段,.02,都市：其他:園道用地,480,24,持分移轉,00320000
RPRNMLMLQHJGFIB58DA,環河段,79.34,都市：其他:園道用地,151500,5082,持分移轉,00360000
RPRNMLMLQHJGFIB58DA,環河段,78.59,都市：其他:園道用地,12,6,持分移轉,00370000
RPRNMLMLQHJGFIB58DA,環河段,20.01,都市：其他:園道用地,12,6,持分移轉,00380000
RPRNMLMLQHJGFIB58DA,環河段,7.26,都市：其他:第三種住宅區。,12,6,持分移轉,00390000
RPSNMLNLQHJGFFB48DA,正英段,96.19,都市：其他:第二種住宅區,1,1,全筆移轉,09570000
RPPNMLMLQHJGFKB58DA,追分段,115.97,都市：其他:農業區,30,1,持分移轉,07520000
RPPNMLMLQHJGFKB58DA,追分段,6.33,都市：其他:農業區,6,1,持分移轉,09020000
RPPNMLMLQHJGFKB58DA,追分段,69.17,非都市：河川區 ; 非都市編定：農牧用地,6,1,持分移轉,09020009
RPPNMLNLQHJGFIB48DA,東湖段,.45,都市：其他:住宅區,100000,15,持分移轉,08950002
RPWOMLOKQHJGFFB98DA,梧棲段,16.97,都市：其他:第三種商業區,100000,812,持分移轉,27640000
RPXNMLNLQHJGFIB66DA,溪南西段,127.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10290001
RPPNMLNLQHJGFHB48EA,東寶一段,28.54,都市：其他:第一之一種住宅區,1,1,全筆移轉,05030000
RPPNMLMLQHJGFAB67EA,下橋子頭段,18.73,都市：其他:第三種住宅區。,100000,87,持分移轉,02310001
RPPNMLKLQHJGFKB48EA,龍田段,207.00,都市：其他:農業區,1,1,全筆移轉,07870008
RPPPMLNKQHJGFAB77DA,樹子腳段,62.00,都市：其他:第二種住宅區,1,1,全筆移轉,06610017
RPPPMLNKQHJGFAB77DA,樹子腳段,10.96,都市：其他:第二種住宅區,10000,812,持分移轉,06610028
RPWOMLLLQHJGFAB28DA,下橋子頭段,5.27,都市：其他:第一種商業區,100000,892,持分移轉,02000255
RPWOMLKLQHJGFCB38DA,上石碑段,60.00,都市：其他:第二種住宅區,1,1,全筆移轉,05940000
RPPQMLLLQHJGFAB77DA,公館段,2.47,都市：其他:第二種住宅區,1000000,779,持分移轉,00620001
RPPQMLLLQHJGFAB77DA,公館段,2.14,都市：其他:第一種商業區,1000000,779,持分移轉,00630001
RPTPMLSKQHJGFAB68DA,萬安段八小段,55.00,都市：其他:第二種住宅區,1,1,全筆移轉,00080040
RPTPMLSKQHJGFAB68DA,萬安段八小段,2.00,都市：其他:第二種住宅區,1,1,全筆移轉,00080041
RPQUMLKLQHJGFBB28DA,錦村段,3.68,都市：其他:第二種住宅區,300000,153,持分移轉,00610000
RPSUMLKLQHJGFBB48DA,錦村段,3.68,都市：其他:第二種住宅區,300000,153,持分移轉,00610000
RPUOMLMLQHJGFAB18DA,頂橋子頭段,7.83,都市：其他:第二種住宅區,24,1,持分移轉,01330057
SPTPMLSKQHJGFAB78DA,萬安段八小段,10.00,都市：其他:第二種住宅區,1,1,全筆移轉,00080106
RPSQMLPKQHJGFCB58DA,大進段,3.73,都市：其他:第二種住宅區,10000,31,持分移轉,00090000
RPSRMLTJQHJGFBB88DA,仁和段,5.01,都市：其他:第一種商業區,20000,74,持分移轉,05130000
RPSRMLTJQHJGFBB88DA,仁和段,8.09,都市：其他:第一種商業區,20000,74,持分移轉,05240000
RPSRMLTJQHJGFBB88DA,仁和段,3.36,都市：其他:第一種商業區,20000,74,持分移轉,05260000
RPSRMLTJQHJGFBB88DA,仁和段,4.86,都市：其他:第一種商業區,20000,74,持分移轉,05280000
RPWOMLSJQHJGFAB78DA,後壠子段,3.88,都市：其他:第一種商業區,1000,10,持分移轉,02240006
RPQNMLTJQHJGFDB48DA,豐原段,29.11,都市：其他:第二種商業區,21600,2222,持分移轉,00410001
RPPOMLLJQHJGFFB87DA,朝天段,123.26,都市：其他:農業區,180,5,持分移轉,04620000
RPROMLLJQHJGFFB08DA,朝天段,123.26,都市：其他:農業區,180,5,持分移轉,04620000
RPQOMLLJQHJGFFB97DA,朝天段,123.26,都市：其他:農業區,180,5,持分移轉,04620000
RPWOMLRLQHJGFCB09DA,廣福段,98.44,都市：其他:農業區,1,1,全筆移轉,01460000
RPWOMLRLQHJGFCB09DA,廣福段,207.65,都市：其他:農業區,1,1,全筆移轉,01470000
RPWOMLRLQHJGFCB09DA,廣福段,285.00,都市：其他:農業區,1,1,全筆移轉,01480000
RPWOMLRLQHJGFCB09DA,廣福段,253.37,都市：其他:農業區,1,1,全筆移轉,01490000
RPUPMLTKQHJGFAB88DA,麻園頭段,9.29,都市：其他:第二種住宅區,100000,605,持分移轉,00730046
RPOOMLKLQHJGFFB97EA,忠孝段,85.50,都市：其他:第四種住宅區,2,1,持分移轉,07770002
RPQNMLQLQHJGFEB48DA,新六分段,22.89,非都市：特定農業區 ; 非都市編定：甲種建築用地,300,15,持分移轉,11350000
RPQNMLQLQHJGFEB48DA,新六分段,12.65,非都市：特定農業區 ; 非都市編定：農牧用地,300,15,持分移轉,11360000
RPPNMLQLQHJGFEB38DA,新六分段,22.89,非都市：特定農業區 ; 非都市編定：甲種建築用地,300,15,持分移轉,11350000
RPPNMLQLQHJGFEB38DA,新六分段,12.65,非都市：特定農業區 ; 非都市編定：農牧用地,300,15,持分移轉,11360000
RPTNMLQKQHJGFDB58DA,四月段,3760.94,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03920000
RPQQMLNKQHJGFCB18DA,大進段,8.45,都市：其他:第二種住宅區,200000,1930,持分移轉,09630000
RPSOMLTKQHJGFCB78DA,西屯段,1.34,都市：其他:第三種住宅區。,4320000,113825,持分移轉,11060000
RPSOMLTKQHJGFCB78DA,西屯段,8.30,都市：其他:第三種住宅區。,8640000,282395,持分移轉,11080000
RPSOMLTKQHJGFCB78DA,西屯段,21.57,都市：其他:第三種住宅區。,8640000,282395,持分移轉,30970000
